total_spend,avg_spend,spend_std,transaction_count,unique_categories,age,gender_M,gender_Unknown
172.25,172.25,0.0,1,1,41,False,False
78.07,78.07,0.0,1,1,55,False,False
2295.7,2295.7,0.0,1,1,43,False,False
1076.6,1076.6,0.0,1,1,35,True,False
923.34,923.34,0.0,1,1,48,True,False
87.5,87.5,0.0,1,1,63,False,False
119.37,119.37,0.0,1,1,55,False,False
268.48,268.48,0.0,1,1,44,False,False
170.89,170.89,0.0,1,1,69,False,False
412.81,412.81,0.0,1,1,73,False,True
156.05,156.05,0.0,1,1,28,False,False
458.05,458.05,0.0,1,1,26,True,False
2948.23,2948.23,0.0,1,1,32,False,False
86.15,86.15,0.0,1,1,22,False,False
111.72,111.72,0.0,1,1,69,True,False
685.14,685.14,0.0,1,1,74,True,False
107.39,107.39,0.0,1,1,70,False,False
1680.28,1680.28,0.0,1,1,52,True,False
194.01,194.01,0.0,1,1,61,False,False
74.03,74.03,0.0,1,1,69,False,False
368.4,368.4,0.0,1,1,33,False,False
49.07,49.07,0.0,1,1,59,True,False
1917.16,1917.16,0.0,1,1,30,True,False
623.37,623.37,0.0,1,1,62,False,False
742.48,742.48,0.0,1,1,39,False,False
79.19,79.19,0.0,1,1,45,True,False
42.17,42.17,0.0,1,1,31,False,True
682.55,682.55,0.0,1,1,48,False,False
160.55,160.55,0.0,1,1,40,False,False
82.77,82.77,0.0,1,1,60,False,True
90.84,90.84,0.0,1,1,68,False,False
174.18,174.18,0.0,1,1,50,False,True
1596.6,1596.6,0.0,1,1,72,True,False
410.28,410.28,0.0,1,1,50,False,False
97.3,97.3,0.0,1,1,75,True,False
124.24,124.24,0.0,1,1,44,False,False
196.92,196.92,0.0,1,1,67,True,False
1366.09,1366.09,0.0,1,1,68,True,False
77.43,77.43,0.0,1,1,59,False,True
208.13,208.13,0.0,1,1,59,False,False
61.08,61.08,0.0,1,1,50,False,False
112.82,112.82,0.0,1,1,47,True,False
492.96,492.96,0.0,1,1,57,False,False
171.14,171.14,0.0,1,1,52,False,False
2326.43,2326.43,0.0,1,1,61,True,False
54.63,54.63,0.0,1,1,71,True,False
557.1,557.1,0.0,1,1,43,False,True
145.08,145.08,0.0,1,1,69,False,False
187.69,187.69,0.0,1,1,41,False,False
248.44,248.44,0.0,1,1,54,True,False
920.43,920.43,0.0,1,1,67,True,False
16.65,16.65,0.0,1,1,21,True,False
72.43,72.43,0.0,1,1,20,False,False
395.86,395.86,0.0,1,1,47,False,False
44.75,44.75,0.0,1,1,25,True,False
39.64,39.64,0.0,1,1,68,False,False
469.92,469.92,0.0,1,1,28,True,False
242.7,242.7,0.0,1,1,24,True,False
201.81,201.81,0.0,1,1,23,False,True
2636.89,2636.89,0.0,1,1,57,False,False
91.15,91.15,0.0,1,1,55,False,False
26.49,26.49,0.0,1,1,59,False,True
66.91,66.91,0.0,1,1,22,False,True
488.16,488.16,0.0,1,1,58,True,False
1848.14,1848.14,0.0,1,1,53,True,False
148.16,148.16,0.0,1,1,61,True,False
1326.2,1326.2,0.0,1,1,39,True,False
86.27,86.27,0.0,1,1,70,True,False
209.68,209.68,0.0,1,1,63,False,False
2144.87,2144.87,0.0,1,1,67,False,False
417.87,417.87,0.0,1,1,76,True,False
130.02,130.02,0.0,1,1,34,True,False
130.7,130.7,0.0,1,1,69,True,False
86.75,86.75,0.0,1,1,37,True,False
292.47,292.47,0.0,1,1,23,False,False
33.19,33.19,0.0,1,1,48,False,False
50.96,50.96,0.0,1,1,43,False,False
75.76,75.76,0.0,1,1,48,False,False
277.03,277.03,0.0,1,1,55,False,False
58.14,58.14,0.0,1,1,51,False,False
912.28,912.28,0.0,1,1,44,True,False
88.9,88.9,0.0,1,1,35,True,False
36.1,36.1,0.0,1,1,20,False,False
70.08,70.08,0.0,1,1,26,False,False
113.39,113.39,0.0,1,1,56,False,False
118.22,118.22,0.0,1,1,55,False,False
54.47,54.47,0.0,1,1,72,False,True
186.27,186.27,0.0,1,1,62,False,True
2988.9,2988.9,0.0,1,1,60,True,False
53.45,53.45,0.0,1,1,71,False,True
57.55,57.55,0.0,1,1,29,False,False
112.98,112.98,0.0,1,1,43,False,False
106.54,106.54,0.0,1,1,31,False,True
742.37,742.37,0.0,1,1,53,True,False
132.94,132.94,0.0,1,1,60,True,False
820.07,820.07,0.0,1,1,68,False,False
308.98,308.98,0.0,1,1,71,True,False
322.12,322.12,0.0,1,1,55,False,False
93.53,93.53,0.0,1,1,38,False,False
20.99,20.99,0.0,1,1,27,True,False
933.4,933.4,0.0,1,1,50,False,False
733.78,733.78,0.0,1,1,29,True,False
452.04,452.04,0.0,1,1,70,True,False
285.0,285.0,0.0,1,1,66,False,False
2471.45,2471.45,0.0,1,1,54,True,False
936.81,936.81,0.0,1,1,45,False,True
61.77,61.77,0.0,1,1,67,True,False
21.86,21.86,0.0,1,1,70,True,False
134.81,134.81,0.0,1,1,54,True,False
217.29,217.29,0.0,1,1,71,False,False
217.56,217.56,0.0,1,1,73,True,False
670.07,670.07,0.0,1,1,25,True,False
548.42,548.42,0.0,1,1,28,True,False
393.84,393.84,0.0,1,1,50,False,False
33.37,33.37,0.0,1,1,44,False,True
149.63,149.63,0.0,1,1,24,True,False
49.06,49.06,0.0,1,1,55,False,False
562.85,562.85,0.0,1,1,49,False,False
2424.16,2424.16,0.0,1,1,46,True,False
794.02,794.02,0.0,1,1,69,True,False
226.41,226.41,0.0,1,1,39,False,False
47.81,47.81,0.0,1,1,62,False,False
670.51,670.51,0.0,1,1,68,False,True
61.9,61.9,0.0,1,1,70,True,False
31.0,31.0,0.0,1,1,35,True,False
167.82,167.82,0.0,1,1,47,False,False
237.39,237.39,0.0,1,1,35,False,False
215.3,215.3,0.0,1,1,43,True,False
117.75,117.75,0.0,1,1,55,False,False
429.23,429.23,0.0,1,1,32,True,False
107.52,107.52,0.0,1,1,71,False,False
2953.58,2953.58,0.0,1,1,34,False,False
181.27,181.27,0.0,1,1,68,False,False
253.14,253.14,0.0,1,1,38,False,True
1752.23,1752.23,0.0,1,1,51,True,False
55.07,55.07,0.0,1,1,26,True,False
59.36,59.36,0.0,1,1,43,False,False
83.12,83.12,0.0,1,1,72,True,False
130.43,130.43,0.0,1,1,41,False,False
69.95,69.95,0.0,1,1,27,False,False
264.24,264.24,0.0,1,1,50,True,False
65.29,65.29,0.0,1,1,23,True,False
161.09,161.09,0.0,1,1,56,True,False
10.11,10.11,0.0,1,1,67,True,False
104.43,104.43,0.0,1,1,26,False,False
83.26,83.26,0.0,1,1,39,False,False
1893.23,1893.23,0.0,1,1,53,False,False
16.22,16.22,0.0,1,1,53,True,False
23.24,23.24,0.0,1,1,65,True,False
996.12,996.12,0.0,1,1,28,False,True
59.46,59.46,0.0,1,1,49,False,True
521.64,521.64,0.0,1,1,42,True,False
128.19,128.19,0.0,1,1,34,True,False
39.13,39.13,0.0,1,1,77,True,False
19.54,19.54,0.0,1,1,29,False,False
375.28,375.28,0.0,1,1,42,True,False
75.75,75.75,0.0,1,1,71,False,False
82.19,82.19,0.0,1,1,74,False,False
46.74,46.74,0.0,1,1,70,False,False
664.79,664.79,0.0,1,1,22,True,False
2776.0,2776.0,0.0,1,1,28,False,False
296.28,296.28,0.0,1,1,27,False,False
93.27,93.27,0.0,1,1,65,False,False
77.51,77.51,0.0,1,1,25,False,False
469.37,469.37,0.0,1,1,60,True,False
2028.56,2028.56,0.0,1,1,25,False,False
81.27,81.27,0.0,1,1,66,True,False
68.45,68.45,0.0,1,1,75,False,False
74.48,74.48,0.0,1,1,29,False,False
279.73,279.73,0.0,1,1,50,False,False
143.31,143.31,0.0,1,1,34,False,False
185.51,185.51,0.0,1,1,23,False,False
43.21,43.21,0.0,1,1,76,False,False
906.76,906.76,0.0,1,1,58,True,False
81.3,81.3,0.0,1,1,39,False,False
206.75,206.75,0.0,1,1,44,True,False
268.99,268.99,0.0,1,1,42,False,True
182.81,182.81,0.0,1,1,45,True,False
61.2,61.2,0.0,1,1,28,False,False
2266.59,2266.59,0.0,1,1,25,False,False
229.84,229.84,0.0,1,1,39,True,False
42.25,42.25,0.0,1,1,72,False,False
355.67,355.67,0.0,1,1,57,True,False
277.21,277.21,0.0,1,1,42,False,False
210.03,210.03,0.0,1,1,73,False,False
76.52,76.52,0.0,1,1,73,True,False
80.19,80.19,0.0,1,1,44,False,False
344.3,344.3,0.0,1,1,54,True,False
230.81,230.81,0.0,1,1,50,True,False
154.13,154.13,0.0,1,1,65,False,True
652.11,652.11,0.0,1,1,62,False,False
434.29,434.29,0.0,1,1,71,True,False
917.2,917.2,0.0,1,1,43,False,False
50.46,50.46,0.0,1,1,29,True,False
55.64,55.64,0.0,1,1,44,True,False
2415.13,2415.13,0.0,1,1,55,True,False
2191.15,2191.15,0.0,1,1,37,True,False
636.55,636.55,0.0,1,1,31,False,True
182.76,182.76,0.0,1,1,60,False,False
43.63,43.63,0.0,1,1,71,True,False
198.59,198.59,0.0,1,1,65,False,False
2595.34,2595.34,0.0,1,1,46,False,False
57.69,57.69,0.0,1,1,31,True,False
323.05,323.05,0.0,1,1,74,True,False
50.14,50.14,0.0,1,1,20,True,False
448.73,448.73,0.0,1,1,32,False,False
32.56,32.56,0.0,1,1,46,False,False
999.49,999.49,0.0,1,1,44,False,False
598.83,598.83,0.0,1,1,56,True,False
279.17,279.17,0.0,1,1,73,True,False
14.98,14.98,0.0,1,1,49,False,False
91.53,91.53,0.0,1,1,57,False,True
98.11,98.11,0.0,1,1,75,True,False
542.96,542.96,0.0,1,1,30,False,True
62.42,62.42,0.0,1,1,49,False,False
48.86,48.86,0.0,1,1,43,False,True
79.92,79.92,0.0,1,1,56,False,False
62.9,62.9,0.0,1,1,73,False,True
28.53,28.53,0.0,1,1,60,True,False
86.54,86.54,0.0,1,1,33,True,False
30.75,30.75,0.0,1,1,31,False,False
186.27,186.27,0.0,1,1,58,True,False
11.03,11.03,0.0,1,1,62,True,False
65.09,65.09,0.0,1,1,22,True,False
466.38,466.38,0.0,1,1,61,False,False
138.84,138.84,0.0,1,1,20,False,False
51.24,51.24,0.0,1,1,74,False,True
30.55,30.55,0.0,1,1,68,True,False
1750.74,1750.74,0.0,1,1,30,False,False
87.63,87.63,0.0,1,1,72,False,True
218.73,218.73,0.0,1,1,59,True,False
114.45,114.45,0.0,1,1,41,False,False
645.23,645.23,0.0,1,1,29,False,False
113.39,113.39,0.0,1,1,53,True,False
405.89,405.89,0.0,1,1,68,False,True
161.33,161.33,0.0,1,1,39,False,False
435.44,435.44,0.0,1,1,47,False,False
973.25,973.25,0.0,1,1,42,False,False
67.86,67.86,0.0,1,1,60,False,False
66.47,66.47,0.0,1,1,26,False,True
38.02,38.02,0.0,1,1,43,True,False
167.85,167.85,0.0,1,1,58,True,False
224.94,224.94,0.0,1,1,68,True,False
40.04,40.04,0.0,1,1,75,True,False
40.89,40.89,0.0,1,1,28,False,False
285.75,285.75,0.0,1,1,69,False,False
385.99,385.99,0.0,1,1,24,False,True
797.44,797.44,0.0,1,1,30,False,False
166.43,166.43,0.0,1,1,23,False,False
141.87,141.87,0.0,1,1,62,False,False
188.93,188.93,0.0,1,1,72,False,False
182.76,182.76,0.0,1,1,23,True,False
228.89,228.89,0.0,1,1,28,True,False
33.8,33.8,0.0,1,1,49,True,False
211.62,211.62,0.0,1,1,56,False,False
48.84,48.84,0.0,1,1,57,False,True
283.78,283.78,0.0,1,1,40,False,False
206.05,206.05,0.0,1,1,62,True,False
2844.59,2844.59,0.0,1,1,61,False,False
433.96,433.96,0.0,1,1,55,True,False
70.56,70.56,0.0,1,1,64,True,False
558.47,558.47,0.0,1,1,74,False,False
172.15,172.15,0.0,1,1,56,False,True
216.04,216.04,0.0,1,1,38,True,False
948.88,948.88,0.0,1,1,40,True,False
196.55,196.55,0.0,1,1,46,False,False
118.41,118.41,0.0,1,1,23,False,False
744.11,744.11,0.0,1,1,69,False,False
39.72,39.72,0.0,1,1,36,False,False
470.77,470.77,0.0,1,1,58,False,False
155.82,155.82,0.0,1,1,66,True,False
112.18,112.18,0.0,1,1,20,False,True
319.36,319.36,0.0,1,1,38,True,False
541.7,541.7,0.0,1,1,23,False,True
1819.03,1819.03,0.0,1,1,26,False,False
61.72,61.72,0.0,1,1,23,False,False
91.06,91.06,0.0,1,1,50,False,False
288.12,288.12,0.0,1,1,31,False,True
276.47,276.47,0.0,1,1,32,True,False
170.17,170.17,0.0,1,1,21,False,False
46.62,46.62,0.0,1,1,74,True,False
85.98,85.98,0.0,1,1,45,False,False
180.13,180.13,0.0,1,1,58,False,True
117.81,117.81,0.0,1,1,58,True,False
1818.19,1818.19,0.0,1,1,29,False,True
121.24,121.24,0.0,1,1,60,False,True
489.84,489.84,0.0,1,1,54,False,False
50.54,50.54,0.0,1,1,70,True,False
96.43,96.43,0.0,1,1,73,False,False
140.4,140.4,0.0,1,1,25,False,False
63.62,63.62,0.0,1,1,20,True,False
37.42,37.42,0.0,1,1,31,False,True
2489.55,2489.55,0.0,1,1,40,False,False
10.05,10.05,0.0,1,1,35,True,False
234.67,234.67,0.0,1,1,45,True,False
231.05,231.05,0.0,1,1,65,True,False
340.38,340.38,0.0,1,1,35,True,False
70.96,70.96,0.0,1,1,21,False,False
69.75,69.75,0.0,1,1,27,False,False
802.23,802.23,0.0,1,1,68,False,False
82.23,82.23,0.0,1,1,32,False,False
179.6,179.6,0.0,1,1,23,True,False
24.48,24.48,0.0,1,1,73,False,False
1678.71,1678.71,0.0,1,1,54,False,False
41.41,41.41,0.0,1,1,35,False,False
96.1,96.1,0.0,1,1,22,True,False
84.39,84.39,0.0,1,1,55,True,False
62.58,62.58,0.0,1,1,47,False,False
242.19,242.19,0.0,1,1,35,False,False
264.21,264.21,0.0,1,1,30,False,False
190.78,190.78,0.0,1,1,44,True,False
54.61,54.61,0.0,1,1,77,False,False
166.25,166.25,0.0,1,1,74,False,False
157.12,157.12,0.0,1,1,69,True,False
2604.67,2604.67,0.0,1,1,27,True,False
146.14,146.14,0.0,1,1,61,False,True
86.1,86.1,0.0,1,1,49,True,False
405.56,405.56,0.0,1,1,45,False,False
2872.6,2872.6,0.0,1,1,35,False,True
94.67,94.67,0.0,1,1,68,False,False
470.53,470.53,0.0,1,1,51,False,False
397.15,397.15,0.0,1,1,72,True,False
219.23,219.23,0.0,1,1,37,True,False
710.8,710.8,0.0,1,1,20,True,False
456.93,456.93,0.0,1,1,24,False,False
111.66,111.66,0.0,1,1,60,True,False
217.11,217.11,0.0,1,1,24,False,False
376.77,376.77,0.0,1,1,29,True,False
2482.85,2482.85,0.0,1,1,49,True,False
735.27,735.27,0.0,1,1,36,True,False
292.15,292.15,0.0,1,1,58,False,True
2959.44,2959.44,0.0,1,1,32,False,False
40.55,40.55,0.0,1,1,34,False,True
38.71,38.71,0.0,1,1,38,True,False
188.25,188.25,0.0,1,1,65,False,False
172.66,172.66,0.0,1,1,51,False,True
150.74,150.74,0.0,1,1,41,True,False
2175.99,2175.99,0.0,1,1,51,False,False
20.5,20.5,0.0,1,1,46,True,False
1746.21,1746.21,0.0,1,1,60,False,False
59.07,59.07,0.0,1,1,76,False,False
293.51,293.51,0.0,1,1,24,False,True
2184.21,2184.21,0.0,1,1,58,False,False
33.02,33.02,0.0,1,1,38,True,False
901.93,901.93,0.0,1,1,35,False,True
134.76,134.76,0.0,1,1,37,True,False
936.99,936.99,0.0,1,1,32,False,False
1700.97,1700.97,0.0,1,1,35,False,False
1921.48,1921.48,0.0,1,1,73,True,False
136.57,136.57,0.0,1,1,48,True,False
10.61,10.61,0.0,1,1,30,False,False
21.71,21.71,0.0,1,1,63,True,False
149.92,149.92,0.0,1,1,31,False,False
1990.44,1990.44,0.0,1,1,70,True,False
465.49,465.49,0.0,1,1,22,False,False
146.57,146.57,0.0,1,1,22,False,False
190.71,190.71,0.0,1,1,39,False,False
70.73,70.73,0.0,1,1,64,True,False
1427.94,1427.94,0.0,1,1,34,False,False
111.16,111.16,0.0,1,1,40,False,False
819.91,819.91,0.0,1,1,49,True,False
154.71,154.71,0.0,1,1,28,False,False
1067.51,1067.51,0.0,1,1,60,True,False
640.48,640.48,0.0,1,1,59,False,False
14.94,14.94,0.0,1,1,64,True,False
116.99,116.99,0.0,1,1,71,False,False
27.72,27.72,0.0,1,1,28,False,True
148.61,148.61,0.0,1,1,70,False,False
103.59,103.59,0.0,1,1,64,False,False
989.02,989.02,0.0,1,1,34,False,False
966.58,966.58,0.0,1,1,77,False,True
26.21,26.21,0.0,1,1,41,True,False
473.31,473.31,0.0,1,1,41,False,True
122.17,122.17,0.0,1,1,49,False,False
39.59,39.59,0.0,1,1,43,True,False
931.29,931.29,0.0,1,1,23,True,False
181.3,181.3,0.0,1,1,41,True,False
158.07,158.07,0.0,1,1,28,False,True
34.08,34.08,0.0,1,1,74,False,False
31.72,31.72,0.0,1,1,70,False,True
170.47,170.47,0.0,1,1,30,True,False
113.49,113.49,0.0,1,1,73,False,True
959.2,959.2,0.0,1,1,46,True,False
81.05,81.05,0.0,1,1,39,True,False
83.91,83.91,0.0,1,1,70,False,False
75.92,75.92,0.0,1,1,68,False,False
16.29,16.29,0.0,1,1,46,False,False
