customer_id,total_spend,avg_spend,spend_std,transaction_count,unique_categories,age,gender,cluster,persona
29,27.02,27.02,0.0,1,1,42,M,3,High-Volatility / Impulsive Spender
51,1898.56,1898.56,0.0,1,1,21,Unknown,1,High-Frequency Moderate Spender
54,166.3,166.3,0.0,1,1,44,M,3,High-Volatility / Impulsive Spender
83,125.85,125.85,0.0,1,1,74,Unknown,0,Conservative Budgeter
90,18.16,18.16,0.0,1,1,20,M,3,High-Volatility / Impulsive Spender
105,76.82,76.82,0.0,1,1,27,M,3,High-Volatility / Impulsive Spender
110,231.57,231.57,0.0,1,1,49,F,2,Luxury-Oriented Spender
123,169.44,169.44,0.0,1,1,75,M,3,High-Volatility / Impulsive Spender
132,129.93,129.93,0.0,1,1,20,F,2,Luxury-Oriented Spender
154,12.85,12.85,0.0,1,1,34,M,3,High-Volatility / Impulsive Spender
183,82.04,82.04,0.0,1,1,29,F,2,Luxury-Oriented Spender
238,48.11,48.11,0.0,1,1,30,M,3,High-Volatility / Impulsive Spender
247,165.62,165.62,0.0,1,1,28,M,3,High-Volatility / Impulsive Spender
268,414.07,414.07,0.0,1,1,70,M,3,High-Volatility / Impulsive Spender
270,952.45,952.45,0.0,1,1,39,M,3,High-Volatility / Impulsive Spender
332,90.1,90.1,0.0,1,1,50,M,3,High-Volatility / Impulsive Spender
351,616.82,616.82,0.0,1,1,25,F,2,Luxury-Oriented Spender
376,387.2,387.2,0.0,1,1,40,M,3,High-Volatility / Impulsive Spender
381,13.29,13.29,0.0,1,1,29,M,3,High-Volatility / Impulsive Spender
417,172.07,172.07,0.0,1,1,29,Unknown,0,Conservative Budgeter
427,119.49,119.49,0.0,1,1,57,F,2,Luxury-Oriented Spender
435,168.26,168.26,0.0,1,1,23,M,3,High-Volatility / Impulsive Spender
440,148.52,148.52,0.0,1,1,67,Unknown,0,Conservative Budgeter
443,42.16,42.16,0.0,1,1,66,M,3,High-Volatility / Impulsive Spender
444,154.71,154.71,0.0,1,1,28,F,2,Luxury-Oriented Spender
471,66.28,66.28,0.0,1,1,50,F,2,Luxury-Oriented Spender
489,179.52,179.52,0.0,1,1,60,F,2,Luxury-Oriented Spender
490,332.85,332.85,0.0,1,1,29,M,3,High-Volatility / Impulsive Spender
499,189.74,189.74,0.0,1,1,53,M,3,High-Volatility / Impulsive Spender
509,53.66,53.66,0.0,1,1,36,Unknown,0,Conservative Budgeter
530,83.0,83.0,0.0,1,1,66,F,2,Luxury-Oriented Spender
574,13.11,13.11,0.0,1,1,22,F,2,Luxury-Oriented Spender
600,80.13,80.13,0.0,1,1,40,M,3,High-Volatility / Impulsive Spender
634,72.8,72.8,0.0,1,1,60,M,3,High-Volatility / Impulsive Spender
638,538.38,538.38,0.0,1,1,46,M,3,High-Volatility / Impulsive Spender
660,13.85,13.85,0.0,1,1,41,F,2,Luxury-Oriented Spender
669,68.51,68.51,0.0,1,1,39,M,3,High-Volatility / Impulsive Spender
675,166.88,166.88,0.0,1,1,65,M,3,High-Volatility / Impulsive Spender
719,428.04,428.04,0.0,1,1,63,Unknown,0,Conservative Budgeter
730,97.89,97.89,0.0,1,1,76,Unknown,0,Conservative Budgeter
739,147.63,147.63,0.0,1,1,35,F,2,Luxury-Oriented Spender
769,77.7,77.7,0.0,1,1,54,M,3,High-Volatility / Impulsive Spender
778,78.9,78.9,0.0,1,1,28,F,2,Luxury-Oriented Spender
810,125.08,125.08,0.0,1,1,23,M,3,High-Volatility / Impulsive Spender
834,36.76,36.76,0.0,1,1,37,F,2,Luxury-Oriented Spender
850,93.71,93.71,0.0,1,1,59,F,2,Luxury-Oriented Spender
855,480.34,480.34,0.0,1,1,69,M,3,High-Volatility / Impulsive Spender
891,113.14,113.14,0.0,1,1,45,F,2,Luxury-Oriented Spender
924,96.78,96.78,0.0,1,1,72,M,3,High-Volatility / Impulsive Spender
950,80.43,80.43,0.0,1,1,76,F,2,Luxury-Oriented Spender
951,89.7,89.7,0.0,1,1,73,F,2,Luxury-Oriented Spender
961,2975.95,2975.95,0.0,1,1,25,Unknown,1,High-Frequency Moderate Spender
972,140.51,140.51,0.0,1,1,34,M,3,High-Volatility / Impulsive Spender
984,295.64,295.64,0.0,1,1,51,M,3,High-Volatility / Impulsive Spender
996,356.58,356.58,0.0,1,1,36,M,3,High-Volatility / Impulsive Spender
1006,1449.89,1449.89,0.0,1,1,40,M,1,High-Frequency Moderate Spender
1050,205.97,205.97,0.0,1,1,64,M,3,High-Volatility / Impulsive Spender
1061,64.46,64.46,0.0,1,1,75,F,2,Luxury-Oriented Spender
1103,409.53,409.53,0.0,1,1,28,F,2,Luxury-Oriented Spender
1113,122.24,122.24,0.0,1,1,28,F,2,Luxury-Oriented Spender
1176,22.6,22.6,0.0,1,1,20,M,3,High-Volatility / Impulsive Spender
1219,1928.84,1928.84,0.0,1,1,42,F,1,High-Frequency Moderate Spender
1246,1428.1,1428.1,0.0,1,1,64,F,1,High-Frequency Moderate Spender
1257,1399.51,1399.51,0.0,1,1,56,M,1,High-Frequency Moderate Spender
1285,144.4,144.4,0.0,1,1,42,F,2,Luxury-Oriented Spender
1320,173.72,173.72,0.0,1,1,38,M,3,High-Volatility / Impulsive Spender
1335,27.17,27.17,0.0,1,1,33,M,3,High-Volatility / Impulsive Spender
1365,88.82,88.82,0.0,1,1,60,F,2,Luxury-Oriented Spender
1370,990.35,990.35,0.0,1,1,30,F,2,Luxury-Oriented Spender
1374,181.37,181.37,0.0,1,1,21,M,3,High-Volatility / Impulsive Spender
1396,124.98,124.98,0.0,1,1,60,F,2,Luxury-Oriented Spender
1413,335.23,335.23,0.0,1,1,45,F,2,Luxury-Oriented Spender
1463,93.23,93.23,0.0,1,1,30,F,2,Luxury-Oriented Spender
1473,77.32,77.32,0.0,1,1,21,M,3,High-Volatility / Impulsive Spender
1550,150.97,150.97,0.0,1,1,55,M,3,High-Volatility / Impulsive Spender
1606,829.02,829.02,0.0,1,1,76,Unknown,0,Conservative Budgeter
1617,849.93,849.93,0.0,1,1,29,F,2,Luxury-Oriented Spender
1630,118.26,118.26,0.0,1,1,76,F,2,Luxury-Oriented Spender
1665,117.89,117.89,0.0,1,1,27,M,3,High-Volatility / Impulsive Spender
1704,445.21,445.21,0.0,1,1,25,M,3,High-Volatility / Impulsive Spender
1736,151.06,151.06,0.0,1,1,62,Unknown,0,Conservative Budgeter
1741,34.97,34.97,0.0,1,1,44,F,2,Luxury-Oriented Spender
1742,108.64,108.64,0.0,1,1,41,F,2,Luxury-Oriented Spender
1799,220.37,220.37,0.0,1,1,40,F,2,Luxury-Oriented Spender
1808,47.62,47.62,0.0,1,1,64,F,2,Luxury-Oriented Spender
1837,85.97,85.97,0.0,1,1,75,F,2,Luxury-Oriented Spender
1853,956.64,956.64,0.0,1,1,77,F,2,Luxury-Oriented Spender
1890,2555.69,2555.69,0.0,1,1,23,F,1,High-Frequency Moderate Spender
1900,71.66,71.66,0.0,1,1,23,F,2,Luxury-Oriented Spender
1920,277.52,277.52,0.0,1,1,58,M,3,High-Volatility / Impulsive Spender
1942,435.86,435.86,0.0,1,1,32,Unknown,0,Conservative Budgeter
1965,208.48,208.48,0.0,1,1,52,F,2,Luxury-Oriented Spender
1985,182.65,182.65,0.0,1,1,36,F,2,Luxury-Oriented Spender
1994,68.24,68.24,0.0,1,1,54,F,2,Luxury-Oriented Spender
1995,215.06,215.06,0.0,1,1,68,F,2,Luxury-Oriented Spender
2008,39.27,39.27,0.0,1,1,55,F,2,Luxury-Oriented Spender
2034,71.89,71.89,0.0,1,1,38,F,2,Luxury-Oriented Spender
2037,1209.36,1209.36,0.0,1,1,41,M,3,High-Volatility / Impulsive Spender
