customer_id,transaction_amount,category,merchant,age,gender,spend_tier,cluster,persona
29,27.02,Restaurant,clarke garcia,42,M,Low,0,Low Spend — Restaurant
51,1898.56,Travel,perez clark and rodriguez,21,Unknown,Very High,2,Very High Spend — Travel
54,166.3,Clothing,torres and sons,44,M,Low,1,Low Spend — Market
83,125.85,Clothing,sanchez mitchell and pope,74,Unknown,Low,1,Low Spend — Market
90,18.16,Restaurant,booth and sons,20,M,Low,0,Low Spend — Restaurant
105,76.82,Restaurant,cabrera moss,27,M,Low,0,Low Spend — Restaurant
110,231.57,Clothing,green nunez,49,F,Mid,1,Mid Spend — Market
123,169.44,Market,woods jimenez,75,M,Low,1,Low Spend — Market
132,129.93,Travel,fuller holland and shah,20,F,Low,2,Low Spend — Travel
154,12.85,Market,gutierrez and sons,34,M,Low,1,Low Spend — Market
183,82.04,Restaurant,martinez miller,29,F,Low,0,Low Spend — Restaurant
238,48.11,Restaurant,wood inc,30,M,Low,0,Low Spend — Restaurant
247,165.62,Clothing,jordan plc,28,M,Low,1,Low Spend — Market
268,414.07,Electronics,stokes espinoza and murray,70,M,Mid,3,Mid Spend — Electronics
270,952.45,Electronics,jones plc,39,M,High,3,High Spend — Electronics
332,90.1,Cosmetic,blankenship and sons,50,M,Low,1,Low Spend — Market
351,616.82,Electronics,brown mata,25,F,High,3,High Spend — Electronics
376,387.2,Electronics,duran sullivan,40,M,Mid,3,Mid Spend — Electronics
381,13.29,Cosmetic,baker conley,29,M,Low,1,Low Spend — Market
417,172.07,Cosmetic,johnson cox and berry,29,Unknown,Low,1,Low Spend — Market
427,119.49,Cosmetic,lynch rivera,57,F,Low,1,Low Spend — Market
435,168.26,Market,gonzales smith,23,M,Low,1,Low Spend — Market
440,148.52,Cosmetic,underwood mays and miller,67,Unknown,Low,1,Low Spend — Market
443,42.16,Cosmetic,gonzalez berg,66,M,Low,1,Low Spend — Market
444,154.71,Clothing,goodman gregory and wells,28,F,Low,1,Low Spend — Market
471,66.28,Restaurant,maynard ltd,50,F,Low,0,Low Spend — Restaurant
489,179.52,Clothing,hernandez group,60,F,Low,1,Low Spend — Market
490,332.85,Market,glover group,29,M,Mid,1,Mid Spend — Market
499,189.74,Clothing,stevens chase and cameron,53,M,Mid,1,Mid Spend — Market
509,53.66,Restaurant,benitez charles and bauer,36,Unknown,Low,0,Low Spend — Restaurant
530,83.0,Restaurant,schmidt inc,66,F,Low,0,Low Spend — Restaurant
574,13.11,Restaurant,hickman llc,22,F,Low,0,Low Spend — Restaurant
600,80.13,Restaurant,fuentes group,40,M,Low,0,Low Spend — Restaurant
634,72.8,Restaurant,miller simpson,60,M,Low,0,Low Spend — Restaurant
638,538.38,Travel,nelson robertson and kramer,46,M,High,2,High Spend — Travel
660,13.85,Restaurant,watson stanton and perry,41,F,Low,0,Low Spend — Restaurant
669,68.51,Restaurant,oliver jackson and jackson,39,M,Low,0,Low Spend — Restaurant
675,166.88,Cosmetic,brown ltd,65,M,Low,1,Low Spend — Market
719,428.04,Market,klein carlson and guzman,63,Unknown,Mid,1,Mid Spend — Market
730,97.89,Restaurant,conway stout,76,Unknown,Low,0,Low Spend — Restaurant
739,147.63,Clothing,bailey nichols and johnson,35,F,Low,1,Low Spend — Market
769,77.7,Restaurant,johnson acosta,54,M,Low,0,Low Spend — Restaurant
778,78.9,Restaurant,spence long and hayden,28,F,Low,0,Low Spend — Restaurant
810,125.08,Cosmetic,butler and sons,23,M,Low,1,Low Spend — Market
834,36.76,Cosmetic,brown and sons,37,F,Low,1,Low Spend — Market
850,93.71,Restaurant,tanner herrera,59,F,Low,0,Low Spend — Restaurant
855,480.34,Market,smith plc,69,M,High,1,High Spend — Market
891,113.14,Market,khan inc,45,F,Low,1,Low Spend — Market
924,96.78,Restaurant,thomas inc,72,M,Low,0,Low Spend — Restaurant
950,80.43,Market,chase plc,76,F,Low,1,Low Spend — Market
951,89.7,Market,rogers santiago,73,F,Low,1,Low Spend — Market
961,2975.95,Travel,alexander dalton and hernandez,25,Unknown,Very High,2,Very High Spend — Travel
972,140.51,Clothing,clark stewart,34,M,Low,1,Low Spend — Market
984,295.64,Clothing,johnson heath and chen,51,M,Mid,1,Mid Spend — Market
996,356.58,Market,andersen roth and williams,36,M,Mid,1,Mid Spend — Market
1006,1449.89,Travel,harvey carpenter,40,M,Very High,2,Very High Spend — Travel
1050,205.97,Clothing,adams gardner and sharp,64,M,Mid,1,Mid Spend — Market
1061,64.46,Cosmetic,padilla robinson,75,F,Low,1,Low Spend — Market
1103,409.53,Electronics,rios group,28,F,Mid,3,Mid Spend — Electronics
1113,122.24,Electronics,stevens and sons,28,F,Low,3,Low Spend — Electronics
1176,22.6,Restaurant,copeland martinez,20,M,Low,0,Low Spend — Restaurant
1219,1928.84,Travel,barnes marshall and hernandez,42,F,Very High,2,Very High Spend — Travel
1246,1428.1,Travel,pruitt rogers and hunter,64,F,Very High,2,Very High Spend — Travel
1257,1399.51,Travel,garza plc,56,M,Very High,2,Very High Spend — Travel
1285,144.4,Market,soto llc,42,F,Low,1,Low Spend — Market
1320,173.72,Cosmetic,blankenship hall,38,M,Low,1,Low Spend — Market
1335,27.17,Market,mendez llc,33,M,Low,1,Low Spend — Market
1365,88.82,Restaurant,villegas rowe,60,F,Low,0,Low Spend — Restaurant
